#DataThief /Users/shugo/Downloads/HPlimit.png
# DAMIC  eV, chi
2.3963, 6.1145e-12
2.3981, 6.0951e-12
2.3999, 6.0952e-12
2.4017, 6.0758e-12
2.4035, 6.0758e-12
2.4053, 6.0565e-12
2.407, 6.0566e-12
2.4088, 6.0566e-12
2.4106, 6.0567e-12
2.4123, 6.0567e-12
2.4142, 6.0568e-12
2.416, 6.0376e-12
2.4178, 6.0376e-12
2.4197, 6.0184e-12
2.4215, 6.0185e-12
2.4233, 5.9994e-12
2.4251, 5.9994e-12
2.4269, 5.9804e-12
2.4287, 5.9804e-12
2.4304, 5.9805e-12
2.4323, 5.9615e-12
2.4341, 5.9615e-12
2.436, 5.9426e-12
2.4378, 5.9426e-12
2.4396, 5.9427e-12
2.4414, 5.9238e-12
2.4432, 5.905e-12
2.4451, 5.905e-12
2.4451, 5.8862e-12
2.4469, 5.8863e-12
2.4487, 5.8863e-12
2.4505, 5.8676e-12
2.4524, 5.8677e-12
2.4542, 5.849e-12
2.456, 5.8491e-12
2.4579, 5.8305e-12
2.4597, 5.8305e-12
2.4615, 5.812e-12
2.4634, 5.8121e-12
2.4634, 5.7936e-12
2.4652, 5.7936e-12
2.4671, 5.7752e-12
2.4689, 5.7753e-12
2.4707, 5.7569e-12
2.4726, 5.757e-12
2.4744, 5.7387e-12
2.4763, 5.7387e-12
2.4763, 5.7204e-12
2.4781, 5.7205e-12
2.48, 5.7023e-12
2.4818, 5.7024e-12
2.4837, 5.6842e-12
2.4855, 5.6843e-12
2.4874, 5.6843e-12
2.4892, 5.6844e-12
2.491, 5.6844e-12
2.4929, 5.6845e-12
2.4948, 5.6845e-12
2.4967, 5.6846e-12
2.4985, 5.6846e-12
2.5004, 5.6847e-12
2.5023, 5.6847e-12
2.5041, 5.6848e-12
2.506, 5.6848e-12
2.5079, 5.6849e-12
2.5098, 5.6849e-12
2.5116, 5.685e-12
2.5135, 5.685e-12
2.5154, 5.685e-12
2.5173, 5.6851e-12
2.5191, 5.6851e-12
2.521, 5.6852e-12
2.521, 5.6671e-12
2.5229, 5.6491e-12
2.5229, 5.6311e-12
2.5229, 5.6132e-12
2.5229, 5.5953e-12
2.5248, 5.5775e-12
2.5248, 5.5597e-12
2.5248, 5.542e-12
2.5248, 5.5244e-12
2.5267, 5.5068e-12
2.5267, 5.4893e-12
2.5286, 5.4893e-12
2.5304, 5.4719e-12
2.5323, 5.4545e-12
2.5342, 5.4372e-12
2.5361, 5.4199e-12
2.538, 5.4027e-12
2.5399, 5.4028e-12
2.5399, 5.3856e-12
2.5417, 5.3856e-12
2.5436, 5.3685e-12
2.5455, 5.3685e-12
2.5455, 5.3514e-12
2.5474, 5.3515e-12
2.5493, 5.3345e-12
2.5513, 5.3345e-12
2.5513, 5.3175e-12
2.5532, 5.3176e-12
2.5551, 5.3007e-12
2.557, 5.3007e-12
2.557, 5.2839e-12
2.5589, 5.2839e-12
2.5608, 5.2671e-12
2.5627, 5.2672e-12
2.5627, 5.2504e-12
2.5647, 5.2504e-12
2.5666, 5.2337e-12
2.5685, 5.2338e-12
2.5685, 5.2171e-12
2.5704, 5.2172e-12
2.5723, 5.2006e-12
2.5742, 5.2006e-12
2.5742, 5.1841e-12
2.5762, 5.1841e-12
2.5781, 5.1842e-12
2.58, 5.1677e-12
2.5819, 5.1513e-12
2.5838, 5.1349e-12
2.5857, 5.135e-12
2.5857, 5.1186e-12
2.5877, 5.1186e-12
2.5897, 5.1024e-12
2.5916, 5.1024e-12
2.5916, 5.0862e-12
2.5935, 5.0862e-12
2.5955, 5.0863e-12
2.5974, 5.0701e-12
2.5993, 5.054e-12
2.6013, 5.054e-12
2.6032, 5.038e-12
2.6052, 5.022e-12
2.6071, 5.022e-12
2.6091, 5.0061e-12
2.611, 5.0061e-12
2.6129, 4.9902e-12
2.6149, 4.9744e-12
2.6168, 4.9744e-12
2.6188, 4.9586e-12
2.6208, 4.9428e-12
2.6227, 4.9429e-12
2.6247, 4.9272e-12
2.6266, 4.9272e-12
2.6286, 4.9116e-12
2.6306, 4.896e-12
2.6324, 4.896e-12
2.6345, 4.8805e-12
2.6364, 4.8805e-12
2.6383, 4.865e-12
2.6404, 4.8495e-12
2.6423, 4.8496e-12
2.6442, 4.8342e-12
2.6463, 4.8188e-12
2.6482, 4.8189e-12
2.6503, 4.8036e-12
2.6522, 4.8036e-12
2.6542, 4.7883e-12
2.6562, 4.7731e-12
2.6582, 4.7732e-12
2.6602, 4.758e-12
2.6621, 4.7429e-12
2.6641, 4.7429e-12
2.6661, 4.7279e-12
2.6681, 4.7279e-12
2.6701, 4.7129e-12
2.6721, 4.6979e-12
2.6741, 4.698e-12
2.6761, 4.683e-12
2.6781, 4.6831e-12
2.6801, 4.6682e-12
2.6821, 4.6534e-12
2.6841, 4.6534e-12
2.6861, 4.6386e-12
2.6881, 4.6239e-12
2.6901, 4.6239e-12
2.6921, 4.6092e-12
2.6941, 4.6093e-12
2.6961, 4.5946e-12
2.6981, 4.5947e-12
2.7002, 4.5947e-12
2.7022, 4.5801e-12
2.7042, 4.5802e-12
2.7062, 4.5802e-12
2.7082, 4.5656e-12
2.7103, 4.5657e-12
2.7123, 4.5657e-12
2.7143, 4.5512e-12
2.7163, 4.5513e-12
2.7184, 4.5513e-12
2.7204, 4.5368e-12
2.7224, 4.5369e-12
2.7244, 4.5369e-12
2.7265, 4.5225e-12
2.7285, 4.5225e-12
2.7305, 4.5226e-12
2.7326, 4.5082e-12
2.7346, 4.5082e-12
2.7367, 4.5083e-12
2.7387, 4.494e-12
2.7408, 4.494e-12
2.7428, 4.494e-12
2.7448, 4.4798e-12
2.7469, 4.4798e-12
2.7489, 4.4798e-12
2.751, 4.4656e-12
2.753, 4.4656e-12
2.7551, 4.4515e-12
2.7572, 4.4515e-12
2.7591, 4.4515e-12
2.7612, 4.4374e-12
2.7633, 4.4374e-12
2.7654, 4.4375e-12
2.7675, 4.4375e-12
2.7694, 4.4234e-12
2.7715, 4.4234e-12
2.7737, 4.4094e-12
2.7757, 4.4094e-12
2.7778, 4.4095e-12
2.7778, 4.3954e-12
2.7799, 4.3955e-12
2.782, 4.3955e-12
2.784, 4.3815e-12
2.7861, 4.3816e-12
2.7882, 4.3676e-12
2.7903, 4.3677e-12
2.7924, 4.3677e-12
2.7944, 4.3678e-12
2.7965, 4.3539e-12
2.7986, 4.3539e-12
2.8007, 4.354e-12
2.8028, 4.3401e-12
2.8049, 4.3402e-12
2.807, 4.3402e-12
2.8091, 4.3264e-12
2.8112, 4.3264e-12
2.8133, 4.3265e-12
2.8154, 4.3265e-12
2.8175, 4.3128e-12
2.8195, 4.3128e-12
2.8216, 4.3128e-12
2.8237, 4.3129e-12
2.8258, 4.2992e-12
2.8279, 4.2992e-12
2.83, 4.2992e-12
2.8322, 4.2993e-12
2.8343, 4.2856e-12
2.8365, 4.2857e-12
2.8386, 4.2857e-12
2.8407, 4.2857e-12
2.8428, 4.2858e-12
2.8449, 4.2722e-12
2.8471, 4.2722e-12
2.8492, 4.2722e-12
2.8513, 4.2723e-12
2.8534, 4.2587e-12
2.8556, 4.2587e-12
2.8577, 4.2588e-12
2.8598, 4.2588e-12
2.862, 4.2453e-12
2.8641, 4.2453e-12
2.8662, 4.2453e-12
2.8683, 4.2454e-12
2.8705, 4.2319e-12
2.8727, 4.2319e-12
2.8748, 4.232e-12
2.877, 4.232e-12
2.8791, 4.2186e-12
2.8813, 4.2186e-12
2.8834, 4.2186e-12
2.8856, 4.2187e-12
2.8877, 4.2053e-12
2.8899, 4.2053e-12
2.892, 4.2053e-12
2.8942, 4.192e-12
2.8963, 4.192e-12
2.8984, 4.192e-12
2.9007, 4.1921e-12
2.9028, 4.1788e-12
2.905, 4.1788e-12
2.9072, 4.1788e-12
2.9093, 4.1789e-12
2.9115, 4.1656e-12
2.9137, 4.1656e-12
2.9159, 4.1657e-12
2.918, 4.1524e-12
2.9202, 4.1525e-12
2.9224, 4.1393e-12
2.9245, 4.1393e-12
2.9268, 4.1393e-12
2.9289, 4.1262e-12
2.9311, 4.1262e-12
2.9333, 4.1263e-12
2.9355, 4.1131e-12
2.9377, 4.1132e-12
2.9399, 4.1001e-12
2.9421, 4.1001e-12
2.9443, 4.1002e-12
2.9465, 4.0872e-12
2.9487, 4.0872e-12
2.9508, 4.0742e-12
2.9531, 4.0742e-12
2.9553, 4.0743e-12
2.9575, 4.0613e-12
2.9597, 4.0614e-12
2.9619, 4.0614e-12
2.9641, 4.0485e-12
2.9663, 4.0485e-12
2.9685, 4.0357e-12
2.9708, 4.0357e-12
2.9729, 4.0357e-12
2.9752, 4.0229e-12
2.9774, 4.023e-12
2.9796, 4.0102e-12
2.9819, 4.0102e-12
2.9841, 4.0102e-12
2.9863, 3.9975e-12
2.9885, 3.9975e-12
2.9908, 3.9848e-12
2.9929, 3.9849e-12
2.9952, 3.9722e-12
2.9975, 3.9722e-12
2.9997, 3.9596e-12
3.002, 3.9597e-12
3.0042, 3.9471e-12
3.0064, 3.9471e-12
3.0087, 3.9346e-12
3.0109, 3.9221e-12
3.0132, 3.9221e-12
3.0154, 3.9097e-12
3.0177, 3.9097e-12
3.0199, 3.8973e-12
3.0222, 3.8973e-12
3.0244, 3.8849e-12
3.0267, 3.8726e-12
3.029, 3.8726e-12
3.0312, 3.8603e-12
3.0335, 3.8603e-12
3.0357, 3.8481e-12
3.038, 3.8481e-12
3.0403, 3.8359e-12
3.0425, 3.8237e-12
3.0448, 3.8237e-12
3.0471, 3.8116e-12
3.0493, 3.8116e-12
3.0516, 3.7995e-12
3.0539, 3.7995e-12
3.0562, 3.7875e-12
3.0585, 3.7754e-12
3.0608, 3.7755e-12
3.063, 3.7635e-12
3.0653, 3.7635e-12
3.0676, 3.7516e-12
3.0699, 3.7516e-12
3.0722, 3.7397e-12
3.0745, 3.7278e-12
3.0768, 3.7278e-12
3.0791, 3.716e-12
3.0814, 3.716e-12
3.0836, 3.7042e-12
3.086, 3.7042e-12
3.0883, 3.6925e-12
3.0906, 3.6807e-12
3.0929, 3.6808e-12
3.0952, 3.6691e-12
3.0975, 3.6574e-12
3.0998, 3.6458e-12
3.0998, 3.6342e-12
3.1022, 3.6227e-12
3.1022, 3.6111e-12
3.1045, 3.5996e-12
3.1045, 3.5882e-12
3.1068, 3.5768e-12
3.1068, 3.5654e-12
3.1068, 3.554e-12
3.1091, 3.5427e-12
3.1091, 3.5315e-12
3.1091, 3.5202e-12
3.1114, 3.5202e-12
3.1114, 3.509e-12
3.1114, 3.4979e-12
3.1137, 3.4867e-12
3.1137, 3.4756e-12
3.1137, 3.4646e-12
3.1161, 3.4536e-12
3.1161, 3.4426e-12
3.1184, 3.4316e-12
3.1184, 3.4207e-12
3.1207, 3.4098e-12
3.1207, 3.399e-12
3.1207, 3.3882e-12
3.1231, 3.3774e-12
3.1231, 3.3666e-12
3.1254, 3.3559e-12
3.1254, 3.3453e-12
3.1277, 3.3346e-12
3.1277, 3.324e-12
3.1277, 3.3134e-12
3.1301, 3.3029e-12
3.1301, 3.2924e-12
3.1324, 3.2819e-12
3.1324, 3.2715e-12
3.1324, 3.261e-12
3.1347, 3.2507e-12
3.1347, 3.2403e-12
3.1371, 3.23e-12
3.1371, 3.2198e-12
3.1394, 3.2095e-12
3.1394, 3.1993e-12
3.1394, 3.1891e-12
3.1418, 3.179e-12
3.1418, 3.1689e-12
3.1441, 3.1588e-12
3.1441, 3.1487e-12
3.1465, 3.1387e-12
3.1465, 3.1287e-12
3.1465, 3.1188e-12
3.1488, 3.1089e-12
3.1488, 3.099e-12
3.1511, 3.0891e-12
3.1512, 3.0793e-12
3.1512, 3.0695e-12
3.1535, 3.0597e-12
3.1535, 3.05e-12
3.1559, 3.0403e-12
3.1559, 3.0306e-12
3.1582, 3.021e-12
3.1582, 3.0114e-12
3.1582, 3.0018e-12
3.1606, 2.9922e-12
3.1606, 2.9827e-12
3.1629, 2.9732e-12
3.1629, 2.9638e-12
3.1653, 2.9544e-12
3.1653, 2.9449e-12
3.1653, 2.9356e-12
3.1677, 2.9262e-12
3.1677, 2.9169e-12
3.17, 2.9077e-12
3.17, 2.8984e-12
3.17, 2.8892e-12
3.1724, 2.88e-12
3.1724, 2.8708e-12
3.1748, 2.8617e-12
3.1748, 2.8526e-12
3.1771, 2.8435e-12
3.1771, 2.8345e-12
3.1771, 2.8254e-12
3.1795, 2.8165e-12
3.1795, 2.8075e-12
3.1819, 2.7986e-12
3.1819, 2.7897e-12
3.1842, 2.7808e-12
3.1842, 2.7719e-12
3.1842, 2.7631e-12
3.1865, 2.7543e-12
3.1865, 2.7456e-12
3.189, 2.7368e-12
3.189, 2.7281e-12
3.189, 2.7194e-12
3.1914, 2.7108e-12
3.1914, 2.7022e-12
3.1938, 2.6936e-12
3.1938, 2.685e-12
3.1961, 2.6765e-12
3.1961, 2.668e-12
3.1985, 2.6595e-12
3.1985, 2.651e-12
3.2009, 2.6426e-12
3.2009, 2.6342e-12
3.2009, 2.6258e-12
3.2033, 2.6174e-12
3.2057, 2.6091e-12
3.2081, 2.6008e-12
3.2081, 2.5926e-12
3.2081, 2.5843e-12
3.2105, 2.5843e-12
3.2129, 2.5761e-12
3.2129, 2.5679e-12
3.2129, 2.5597e-12
3.2153, 2.5598e-12
3.2177, 2.5516e-12
3.2177, 2.5435e-12
3.2177, 2.5354e-12
3.2201, 2.5273e-12
3.2201, 2.5193e-12
3.2225, 2.5193e-12
3.2225, 2.5113e-12
3.2248, 2.5033e-12
3.2273, 2.4954e-12
3.2273, 2.4874e-12
3.2297, 2.4874e-12
3.2297, 2.4795e-12
3.2321, 2.4716e-12
3.2345, 2.4638e-12
3.2345, 2.4559e-12
3.237, 2.456e-12
3.237, 2.4481e-12
3.2394, 2.4404e-12
3.2418, 2.4326e-12
3.2418, 2.4249e-12
3.2442, 2.4249e-12
3.2442, 2.4172e-12
3.2442, 2.4095e-12
3.2442, 2.4018e-12
3.2466, 2.3942e-12
3.2466, 2.3865e-12
3.249, 2.3866e-12
3.2515, 2.379e-12
3.2515, 2.3714e-12
3.2539, 2.3639e-12
3.2563, 2.3564e-12
3.2588, 2.3489e-12
3.2588, 2.3414e-12
3.2612, 2.3414e-12
3.2612, 2.334e-12
3.2636, 2.3265e-12
3.2636, 2.3191e-12
3.2661, 2.3191e-12
3.2661, 2.3118e-12
3.2661, 2.3044e-12
3.2661, 2.2971e-12
3.2685, 2.2898e-12
3.2685, 2.2825e-12
3.2709, 2.2825e-12
3.2709, 2.2752e-12
3.2734, 2.268e-12
3.2758, 2.2608e-12
3.2758, 2.2536e-12
3.2783, 2.2536e-12
3.2807, 2.2464e-12
3.2807, 2.2393e-12
3.2832, 2.2322e-12
3.2856, 2.2251e-12
3.2856, 2.218e-12
3.2881, 2.218e-12
3.2881, 2.211e-12
3.2905, 2.2039e-12
3.2905, 2.1969e-12
3.293, 2.1969e-12
3.293, 2.1899e-12
3.293, 2.183e-12
3.2953, 2.176e-12
3.2953, 2.1691e-12
3.2979, 2.1622e-12
3.3004, 2.1553e-12
3.3004, 2.1485e-12
3.3028, 2.1417e-12
3.3028, 2.1348e-12
3.3053, 2.1281e-12
3.3053, 2.1213e-12
3.3078, 2.1145e-12
3.3078, 2.1078e-12
3.3102, 2.1011e-12
3.3102, 2.0944e-12
3.3127, 2.0878e-12
3.3127, 2.0811e-12
3.3152, 2.0745e-12
3.3152, 2.0679e-12
3.3176, 2.0613e-12
3.3176, 2.0548e-12
3.3201, 2.0482e-12
3.3201, 2.0417e-12
3.3226, 2.0352e-12
3.3226, 2.0287e-12
3.3251, 2.0223e-12
3.3251, 2.0159e-12
3.3276, 2.0095e-12
3.3276, 2.0031e-12
3.3301, 1.9967e-12
3.3301, 1.9903e-12
3.3325, 1.984e-12
3.3325, 1.9777e-12
3.335, 1.9714e-12
3.335, 1.9651e-12
3.335, 1.9589e-12
3.3375, 1.9527e-12
3.3375, 1.9464e-12
3.34, 1.9402e-12
3.34, 1.9341e-12
3.3425, 1.9279e-12
3.3425, 1.9218e-12
3.345, 1.9157e-12
3.345, 1.9096e-12
3.3475, 1.9035e-12
3.3475, 1.8975e-12
3.35, 1.8914e-12
3.35, 1.8854e-12
3.3525, 1.8794e-12
3.3525, 1.8734e-12
3.355, 1.8675e-12
3.355, 1.8615e-12
3.3575, 1.8556e-12
3.3575, 1.8497e-12
3.3599, 1.8438e-12
3.3599, 1.838e-12
3.3625, 1.8321e-12
3.3625, 1.8263e-12
3.365, 1.8205e-12
3.365, 1.8147e-12
3.3675, 1.8089e-12
3.3675, 1.8032e-12
3.37, 1.7974e-12
3.37, 1.7917e-12
3.3726, 1.786e-12
3.3726, 1.7803e-12
3.3751, 1.7747e-12
3.3751, 1.769e-12
3.3776, 1.7634e-12
3.3776, 1.7578e-12
3.3801, 1.7522e-12
3.3801, 1.7466e-12
3.3827, 1.7411e-12
3.3827, 1.7355e-12
3.3827, 1.73e-12
3.3852, 1.7245e-12
3.3852, 1.719e-12
3.3877, 1.7136e-12
3.3877, 1.7081e-12
3.3902, 1.7027e-12
3.3902, 1.6972e-12
3.3928, 1.6919e-12
3.3928, 1.6865e-12
3.3953, 1.6811e-12
3.3953, 1.6758e-12
3.3978, 1.6704e-12
3.3978, 1.6651e-12
3.4003, 1.6598e-12
3.4003, 1.6545e-12
3.4029, 1.6493e-12
3.4029, 1.644e-12
3.4054, 1.6388e-12
3.4054, 1.6336e-12
3.408, 1.6284e-12
3.4104, 1.6232e-12
3.4104, 1.6181e-12
3.4131, 1.6129e-12
3.4131, 1.6078e-12
3.4156, 1.6027e-12
3.4156, 1.5976e-12
3.4182, 1.5925e-12
3.4182, 1.5874e-12
3.4207, 1.5824e-12
3.4233, 1.5774e-12
3.4233, 1.5723e-12
3.4258, 1.5673e-12
3.4258, 1.5623e-12
3.4284, 1.5574e-12
3.4284, 1.5524e-12
3.431, 1.5475e-12
3.431, 1.5426e-12
3.4335, 1.5377e-12
3.4361, 1.5328e-12
3.4361, 1.5279e-12
3.4386, 1.523e-12
3.4386, 1.5182e-12
3.4412, 1.5134e-12
3.4412, 1.5086e-12
3.4438, 1.5038e-12
3.4438, 1.499e-12
3.4464, 1.4942e-12
3.4489, 1.4895e-12
3.4489, 1.4847e-12
3.4515, 1.48e-12
3.4515, 1.4753e-12
3.4541, 1.4706e-12
3.4541, 1.4659e-12
3.4567, 1.4613e-12
3.4567, 1.4566e-12
3.4592, 1.452e-12
3.4592, 1.4474e-12
3.4618, 1.4428e-12
3.4644, 1.4382e-12
3.4644, 1.4336e-12
3.467, 1.429e-12
3.467, 1.4245e-12
3.4696, 1.42e-12
3.4696, 1.4154e-12
3.4722, 1.4109e-12
3.4722, 1.4065e-12
3.4748, 1.402e-12
3.4774, 1.3975e-12
3.4774, 1.3931e-12
3.4799, 1.3887e-12
3.4799, 1.3842e-12
3.4825, 1.3798e-12
3.4825, 1.3754e-12
3.4851, 1.3711e-12
3.4851, 1.3667e-12
3.4877, 1.3624e-12
3.4903, 1.358e-12
3.4903, 1.3537e-12
3.4929, 1.3494e-12
3.4929, 1.3451e-12
3.4956, 1.3408e-12
3.4956, 1.3366e-12
3.4956, 1.3323e-12
3.4982, 1.3281e-12
3.5008, 1.3239e-12
3.5034, 1.3197e-12
3.506, 1.3155e-12
3.5086, 1.3155e-12
3.5112, 1.3113e-12
3.5139, 1.3113e-12
3.5139, 1.3071e-12
3.5165, 1.3071e-12
3.5191, 1.303e-12
3.5217, 1.303e-12
3.5244, 1.2989e-12
3.527, 1.2947e-12
3.5295, 1.2906e-12
3.5323, 1.2906e-12
3.5349, 1.2865e-12
3.5375, 1.2825e-12
3.5402, 1.2784e-12
3.5428, 1.2784e-12
3.5455, 1.2743e-12
3.5481, 1.2743e-12
3.5508, 1.2743e-12
3.5534, 1.2703e-12
3.5561, 1.2663e-12
3.5587, 1.2663e-12
3.5587, 1.2622e-12
3.5614, 1.2582e-12
3.564, 1.2582e-12
3.5667, 1.2542e-12
3.5667, 1.2503e-12
3.5694, 1.2503e-12
3.572, 1.2463e-12
3.5747, 1.2423e-12
3.5774, 1.2384e-12
3.58, 1.2384e-12
3.5827, 1.2345e-12
3.5827, 1.2305e-12
3.5854, 1.2305e-12
3.588, 1.2266e-12
3.5907, 1.2227e-12
3.5934, 1.2227e-12
3.596, 1.2189e-12
3.5988, 1.2189e-12
3.6015, 1.215e-12
3.6042, 1.2111e-12
3.6068, 1.2112e-12
3.6095, 1.2112e-12
3.6122, 1.2073e-12
3.6149, 1.2073e-12
3.6176, 1.2073e-12
3.6202, 1.2073e-12
3.623, 1.2035e-12
3.6257, 1.2035e-12
3.6284, 1.2035e-12
3.6311, 1.2035e-12
3.6339, 1.1997e-12
3.6366, 1.1997e-12
3.6393, 1.1997e-12
3.642, 1.1997e-12
3.6447, 1.1959e-12
3.6474, 1.1959e-12
3.6502, 1.196e-12
3.6529, 1.196e-12
3.6556, 1.1922e-12
3.6583, 1.1922e-12
3.6611, 1.1922e-12
3.6638, 1.1922e-12
3.6665, 1.1922e-12
3.6693, 1.1922e-12
3.672, 1.1884e-12
3.6747, 1.1884e-12
3.6775, 1.1884e-12
3.6802, 1.1885e-12
3.683, 1.1847e-12
3.6857, 1.1847e-12
3.6885, 1.1847e-12
3.6912, 1.1847e-12
3.694, 1.1847e-12
3.6968, 1.181e-12
3.6995, 1.181e-12
3.7023, 1.181e-12
3.705, 1.181e-12
3.7078, 1.181e-12
3.7106, 1.1772e-12
3.7133, 1.1773e-12
3.7161, 1.1773e-12
3.7189, 1.1773e-12
3.7217, 1.1773e-12
3.7244, 1.1773e-12
3.7271, 1.1773e-12
3.73, 1.1773e-12
3.7328, 1.1773e-12
3.7356, 1.1773e-12
3.7384, 1.1773e-12
3.7412, 1.1774e-12
3.7439, 1.1774e-12
3.7467, 1.1736e-12
3.7495, 1.1736e-12
3.7523, 1.1736e-12
3.7551, 1.1737e-12
3.7579, 1.1737e-12
3.7607, 1.1737e-12
3.7635, 1.1737e-12
3.7664, 1.1737e-12
3.7692, 1.1737e-12
3.772, 1.1737e-12
3.7748, 1.1737e-12
3.7776, 1.1737e-12
3.7804, 1.1737e-12
3.7833, 1.17e-12
3.7861, 1.17e-12
3.7889, 1.17e-12
3.7917, 1.17e-12
3.7946, 1.17e-12
3.7974, 1.1701e-12
3.8002, 1.1701e-12
3.8031, 1.1701e-12
3.8058, 1.1701e-12
3.8088, 1.1701e-12
3.8115, 1.1701e-12
3.8144, 1.1701e-12
3.8173, 1.1701e-12
3.8201, 1.1701e-12
3.823, 1.1701e-12
3.8258, 1.1702e-12
3.8287, 1.1664e-12
3.8316, 1.1664e-12
3.8344, 1.1665e-12
3.8373, 1.1665e-12
3.8401, 1.1665e-12
3.843, 1.1665e-12
3.8458, 1.1665e-12
3.8488, 1.1665e-12
3.8516, 1.1665e-12
3.8545, 1.1665e-12
3.8574, 1.1665e-12
3.8603, 1.1665e-12
3.8631, 1.1666e-12
3.866, 1.1666e-12
3.8689, 1.1666e-12
3.8718, 1.1629e-12
3.8747, 1.1629e-12
3.8776, 1.1629e-12
3.8805, 1.1629e-12
3.8834, 1.1629e-12
3.8862, 1.1629e-12
3.8892, 1.1629e-12
3.8921, 1.1629e-12
3.895, 1.1629e-12
3.8979, 1.163e-12
3.9008, 1.163e-12
3.9037, 1.163e-12
3.9066, 1.163e-12
3.9095, 1.163e-12
3.9123, 1.163e-12
3.9154, 1.163e-12
3.9183, 1.163e-12
3.9212, 1.163e-12
3.9241, 1.163e-12
3.9271, 1.1631e-12
3.93, 1.1631e-12
3.9329, 1.1631e-12
3.9359, 1.1631e-12
3.9388, 1.1631e-12
3.9418, 1.1631e-12
3.9447, 1.1631e-12
3.9476, 1.1631e-12
3.9506, 1.1631e-12
3.9535, 1.1631e-12
3.9565, 1.1669e-12
3.9594, 1.1669e-12
3.9624, 1.1669e-12
3.9653, 1.1669e-12
3.9683, 1.1669e-12
3.9713, 1.1669e-12
3.9742, 1.1669e-12
3.9771, 1.1669e-12
3.9802, 1.1669e-12
3.983, 1.167e-12
3.9861, 1.1707e-12
3.9891, 1.1707e-12
3.9921, 1.1707e-12
3.995, 1.1707e-12
3.998, 1.1745e-12
4.001, 1.1745e-12
4.004, 1.1745e-12
4.007, 1.1745e-12
4.01, 1.1745e-12
4.013, 1.1783e-12
4.016, 1.1783e-12
4.019, 1.1783e-12
4.022, 1.1783e-12
4.025, 1.1783e-12
4.028, 1.1783e-12
4.031, 1.1821e-12
4.034, 1.1821e-12
4.037, 1.1821e-12
4.04, 1.1821e-12
4.043, 1.1821e-12
4.046, 1.1859e-12
4.0491, 1.1859e-12
4.0521, 1.1859e-12
4.0551, 1.1859e-12
4.0581, 1.1897e-12
4.0612, 1.1898e-12
4.0642, 1.1898e-12
4.0672, 1.1898e-12
4.0703, 1.1936e-12
4.0733, 1.1936e-12
4.0763, 1.1936e-12
4.0794, 1.1936e-12
4.0824, 1.1974e-12
4.0855, 1.1974e-12
4.0885, 1.1975e-12
4.0916, 1.2013e-12
4.0946, 1.2013e-12
4.0977, 1.2013e-12
4.1007, 1.2052e-12
4.1038, 1.2052e-12
4.1069, 1.209e-12
4.1099, 1.209e-12
4.113, 1.2091e-12
4.1161, 1.2129e-12
4.1191, 1.2129e-12
4.1222, 1.2168e-12
4.1253, 1.2168e-12
4.1284, 1.2168e-12
4.1315, 1.2207e-12
4.1345, 1.2207e-12
4.1376, 1.2208e-12
4.1407, 1.2247e-12
4.1438, 1.2247e-12
4.1469, 1.2286e-12
4.15, 1.2286e-12
4.1531, 1.2286e-12
4.1562, 1.2326e-12
4.1593, 1.2326e-12
4.1623, 1.2365e-12
4.1655, 1.2365e-12
4.1686, 1.2365e-12
4.1717, 1.2405e-12
4.1748, 1.2405e-12
4.178, 1.2445e-12
4.1811, 1.2445e-12
4.1842, 1.2445e-12
4.1873, 1.2445e-12
4.1904, 1.2445e-12
4.1936, 1.2485e-12
4.1967, 1.2485e-12
4.1998, 1.2485e-12
4.203, 1.2525e-12
4.2061, 1.2525e-12
4.2092, 1.2526e-12
4.2124, 1.2566e-12
4.2155, 1.2566e-12
4.2187, 1.2606e-12
4.2218, 1.2606e-12
4.225, 1.2606e-12
4.2281, 1.2606e-12
4.2313, 1.2606e-12
4.2344, 1.2647e-12
4.2376, 1.2647e-12
4.2408, 1.2647e-12
4.2439, 1.2647e-12
4.2471, 1.2688e-12
4.2503, 1.2688e-12
4.2534, 1.2688e-12
4.2566, 1.2688e-12
4.2598, 1.2688e-12
4.263, 1.2729e-12
4.2662, 1.2729e-12
4.2692, 1.2729e-12
4.2725, 1.2729e-12
4.2757, 1.2729e-12
4.2789, 1.2729e-12
4.2821, 1.277e-12
4.2852, 1.277e-12
4.2885, 1.277e-12
4.2917, 1.277e-12
4.2949, 1.277e-12
4.2981, 1.2771e-12
4.3013, 1.2771e-12
4.3045, 1.2771e-12
4.3077, 1.2771e-12
4.311, 1.2771e-12
4.3142, 1.2771e-12
4.3174, 1.273e-12
4.3206, 1.2731e-12
4.3237, 1.2731e-12
4.3271, 1.2731e-12
4.3303, 1.2731e-12
4.3335, 1.2731e-12
4.3368, 1.2691e-12
4.34, 1.2691e-12
4.3432, 1.2691e-12
4.3465, 1.265e-12
4.3497, 1.2651e-12
4.353, 1.261e-12
4.3562, 1.261e-12
4.3595, 1.2611e-12
4.3627, 1.2571e-12
4.366, 1.2571e-12
4.3692, 1.2531e-12
4.3725, 1.2531e-12
4.3758, 1.2531e-12
4.379, 1.2491e-12
4.3822, 1.2491e-12
4.3856, 1.2491e-12
4.3889, 1.2452e-12
4.3921, 1.2452e-12
4.3954, 1.2412e-12
4.3987, 1.2412e-12
4.402, 1.2412e-12
4.4053, 1.2373e-12
4.4085, 1.2373e-12
4.4118, 1.2334e-12
