#DataThief /Users/shugo/Downloads/HPlimit.png
# DAMIC  eV, chi
1.3909, 2.6195e-11
1.3909, 2.6112e-11
1.392, 2.6029e-11
1.392, 2.5946e-11
1.393, 2.5864e-11
1.393, 2.5781e-11
1.393, 2.5699e-11
1.394, 2.5618e-11
1.394, 2.5536e-11
1.3951, 2.5455e-11
1.3951, 2.5374e-11
1.3951, 2.5293e-11
1.3961, 2.5213e-11
1.3961, 2.5132e-11
1.3961, 2.5052e-11
1.3972, 2.4973e-11
1.3982, 2.4893e-11
1.3982, 2.4814e-11
1.3992, 2.4735e-11
1.3992, 2.4657e-11
1.3992, 2.4578e-11
1.4003, 2.45e-11
1.4013, 2.4422e-11
1.4024, 2.4345e-11
1.4034, 2.4267e-11
1.4045, 2.419e-11
1.4055, 2.4113e-11
1.4066, 2.4037e-11
1.4076, 2.396e-11
1.4087, 2.3884e-11
1.4097, 2.3808e-11
1.4108, 2.3733e-11
1.4118, 2.3657e-11
1.4129, 2.3582e-11
1.4139, 2.3507e-11
1.415, 2.3433e-11
1.4161, 2.3358e-11
1.4171, 2.3284e-11
1.4182, 2.321e-11
1.4192, 2.3136e-11
1.4203, 2.3063e-11
1.4213, 2.299e-11
1.4224, 2.2917e-11
1.4235, 2.2844e-11
1.4235, 2.2771e-11
1.4245, 2.2699e-11
1.4256, 2.2627e-11
1.4267, 2.2555e-11
1.4277, 2.2555e-11
1.4288, 2.2555e-11
1.4299, 2.2555e-11
1.4309, 2.2484e-11
1.432, 2.2412e-11
1.4331, 2.2341e-11
1.4341, 2.227e-11
1.4352, 2.2199e-11
1.4363, 2.2129e-11
1.4373, 2.2059e-11
1.4384, 2.1988e-11
1.4395, 2.1919e-11
1.4405, 2.1849e-11
1.4416, 2.178e-11
1.4416, 2.171e-11
1.4416, 2.1641e-11
1.4426, 2.1641e-11
1.4426, 2.1572e-11
1.4438, 2.1572e-11
1.4438, 2.1504e-11
1.4449, 2.1504e-11
1.4449, 2.1435e-11
1.446, 2.1436e-11
1.446, 2.1367e-11
1.447, 2.1368e-11
1.4481, 2.13e-11
1.4492, 2.1232e-11
1.4503, 2.1165e-11
1.4503, 2.1097e-11
1.4503, 2.103e-11
1.4503, 2.0963e-11
1.4514, 2.0896e-11
1.4524, 2.083e-11
1.4535, 2.0764e-11
1.4546, 2.0698e-11
1.4557, 2.0632e-11
1.4567, 2.0567e-11
1.4579, 2.0501e-11
1.459, 2.0436e-11
1.46, 2.0371e-11
1.4611, 2.0307e-11
1.4622, 2.0242e-11
1.4633, 2.0178e-11
1.4644, 2.0114e-11
1.4655, 2.005e-11
1.4666, 1.9986e-11
1.4677, 1.9923e-11
1.4687, 1.9859e-11
1.4699, 1.9796e-11
1.471, 1.9733e-11
1.4721, 1.9671e-11
1.4732, 1.9608e-11
1.4743, 1.9546e-11
1.4754, 1.9484e-11
1.4765, 1.9422e-11
1.4765, 1.936e-11
1.4776, 1.9299e-11
1.4787, 1.9237e-11
1.4798, 1.9237e-11
1.4809, 1.9238e-11
1.482, 1.9238e-11
1.483, 1.9177e-11
1.4842, 1.9116e-11
1.4853, 1.9055e-11
1.4864, 1.8994e-11
1.4875, 1.8934e-11
1.4886, 1.8874e-11
1.4898, 1.8814e-11
1.4909, 1.8754e-11
1.492, 1.8695e-11
1.4931, 1.8635e-11
1.4942, 1.8576e-11
1.4953, 1.8517e-11
1.4953, 1.8458e-11
1.4953, 1.8399e-11
1.4964, 1.84e-11
1.4964, 1.8341e-11
1.4976, 1.8341e-11
1.4976, 1.8283e-11
1.4987, 1.8283e-11
1.4998, 1.8283e-11
1.5009, 1.8225e-11
1.502, 1.8167e-11
1.5032, 1.8109e-11
1.5043, 1.8052e-11
1.5053, 1.7994e-11
1.5065, 1.7995e-11
1.5077, 1.7937e-11
1.5077, 1.788e-11
1.5088, 1.788e-11
1.5088, 1.7823e-11
1.5099, 1.7824e-11
1.5099, 1.7767e-11
1.511, 1.7767e-11
1.511, 1.771e-11
1.5122, 1.7711e-11
1.5133, 1.7711e-11
1.5144, 1.7654e-11
1.5154, 1.7598e-11
1.5167, 1.7542e-11
1.5178, 1.7487e-11
1.5189, 1.7431e-11
1.5201, 1.7431e-11
1.5211, 1.7376e-11
1.5223, 1.7321e-11
1.5234, 1.7266e-11
1.5246, 1.7211e-11
1.5258, 1.7156e-11
1.5269, 1.7102e-11
1.528, 1.7102e-11
1.5292, 1.7048e-11
1.5303, 1.6993e-11
1.5314, 1.6939e-11
